T32,Net disbursements of official development assistance from donors,,,,,
643,Russian Federation,2015,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.09,Some of the debt relief reported may correspond to the credits. Statistics currently published on ODA by Russia and the estimates from the previous Chairman's reports should not be used at the same time.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
643,Russian Federation,2016,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.10,Some of the debt relief reported may correspond to the credits. Statistics currently published on ODA by Russia and the estimates from the previous Chairman's reports should not be used at the same time.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
643,Russian Federation,2017,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.08,Provisional data.;Some of the debt relief reported may correspond to the credits. Statistics currently published on ODA by Russia and the estimates from the previous Chairman's reports should not be used at the same time.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
682,Saudi Arabia,1975,Net official development assistance to developing countries and multilateral organizations (millions of US$),"2,569","Saudi Arabia's reporting to the OECD on its development co-operation programme consists of aggregate figures on humanitarian and development assistance by region, multilateral aid and loan disbursements and repayments by the Saudi Fund for Development.","Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
682,Saudi Arabia,1985,Net official development assistance to developing countries and multilateral organizations (millions of US$),"2,443","Saudi Arabia's reporting to the OECD on its development co-operation programme consists of aggregate figures on humanitarian and development assistance by region, multilateral aid and loan disbursements and repayments by the Saudi Fund for Development.","Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
682,Saudi Arabia,1995,Net official development assistance to developing countries and multilateral organizations (millions of US$),305,"Saudi Arabia's reporting to the OECD on its development co-operation programme consists of aggregate figures on humanitarian and development assistance by region, multilateral aid and loan disbursements and repayments by the Saudi Fund for Development.","Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
682,Saudi Arabia,2005,Net official development assistance to developing countries and multilateral organizations (millions of US$),"1,026","Saudi Arabia's reporting to the OECD on its development co-operation programme consists of aggregate figures on humanitarian and development assistance by region, multilateral aid and loan disbursements and repayments by the Saudi Fund for Development.","Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
682,Saudi Arabia,2010,Net official development assistance to developing countries and multilateral organizations (millions of US$),"3,480","Saudi Arabia's reporting to the OECD on its development co-operation programme consists of aggregate figures on humanitarian and development assistance by region, multilateral aid and loan disbursements and repayments by the Saudi Fund for Development.","Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
682,Saudi Arabia,2014,Net official development assistance to developing countries and multilateral organizations (millions of US$),"13,634","Saudi Arabia's reporting to the OECD on its development co-operation programme consists of aggregate figures on humanitarian and development assistance by region, multilateral aid and loan disbursements and repayments by the Saudi Fund for Development.","Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
682,Saudi Arabia,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),"6,758","Saudi Arabia's reporting to the OECD on its development co-operation programme consists of aggregate figures on humanitarian and development assistance by region, multilateral aid and loan disbursements and repayments by the Saudi Fund for Development.","Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
703,Slovakia,2005,Net official development assistance to developing countries and multilateral organizations (millions of US$),57,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
703,Slovakia,2010,Net official development assistance to developing countries and multilateral organizations (millions of US$),74,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
703,Slovakia,2014,Net official development assistance to developing countries and multilateral organizations (millions of US$),83,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
703,Slovakia,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),85,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
703,Slovakia,2016,Net official development assistance to developing countries and multilateral organizations (millions of US$),106,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
703,Slovakia,2017,Net official development assistance to developing countries and multilateral organizations (millions of US$),113,Provisional data.;Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
703,Slovakia,2010,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.09,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
703,Slovakia,2014,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.09,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
703,Slovakia,2015,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.10,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
703,Slovakia,2016,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.12,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
703,Slovakia,2017,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.12,Provisional data.;Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
705,Slovenia,2005,Net official development assistance to developing countries and multilateral organizations (millions of US$),35,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
705,Slovenia,2010,Net official development assistance to developing countries and multilateral organizations (millions of US$),59,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
705,Slovenia,2014,Net official development assistance to developing countries and multilateral organizations (millions of US$),62,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
705,Slovenia,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),63,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
705,Slovenia,2016,Net official development assistance to developing countries and multilateral organizations (millions of US$),81,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
705,Slovenia,2017,Net official development assistance to developing countries and multilateral organizations (millions of US$),76,Provisional data.;Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
705,Slovenia,2005,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.11,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
705,Slovenia,2010,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.13,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
705,Slovenia,2014,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.12,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
705,Slovenia,2015,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.15,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
705,Slovenia,2016,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.19,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
705,Slovenia,2017,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.16,Provisional data.;Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
724,Spain,1985,Net official development assistance to developing countries and multilateral organizations (millions of US$),169,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
724,Spain,1995,Net official development assistance to developing countries and multilateral organizations (millions of US$),"1,348",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
724,Spain,2005,Net official development assistance to developing countries and multilateral organizations (millions of US$),"3,018",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
724,Spain,2010,Net official development assistance to developing countries and multilateral organizations (millions of US$),"5,949",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
724,Spain,2014,Net official development assistance to developing countries and multilateral organizations (millions of US$),"1,877",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
724,Spain,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),"1,397",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
724,Spain,2016,Net official development assistance to developing countries and multilateral organizations (millions of US$),"4,278",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
724,Spain,2017,Net official development assistance to developing countries and multilateral organizations (millions of US$),"2,415",Provisional data.;Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
724,Spain,1985,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.10,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
724,Spain,1995,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.24,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
724,Spain,2005,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.27,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
724,Spain,2010,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.43,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
724,Spain,2014,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.13,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
724,Spain,2015,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.12,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
724,Spain,2016,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.35,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
724,Spain,2017,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.19,Provisional data.;Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
752,Sweden,1975,Net official development assistance to developing countries and multilateral organizations (millions of US$),566,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
752,Sweden,1985,Net official development assistance to developing countries and multilateral organizations (millions of US$),840,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
752,Sweden,1995,Net official development assistance to developing countries and multilateral organizations (millions of US$),"1,704",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
752,Sweden,2005,Net official development assistance to developing countries and multilateral organizations (millions of US$),"3,362",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
752,Sweden,2010,Net official development assistance to developing countries and multilateral organizations (millions of US$),"4,533",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
752,Sweden,2014,Net official development assistance to developing countries and multilateral organizations (millions of US$),"6,233",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
752,Sweden,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),"7,089",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
752,Sweden,2016,Net official development assistance to developing countries and multilateral organizations (millions of US$),"4,894",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
752,Sweden,2017,Net official development assistance to developing countries and multilateral organizations (millions of US$),"5,512",Provisional data.;Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
752,Sweden,1975,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.78,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
752,Sweden,1985,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.86,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
752,Sweden,1995,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.77,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
752,Sweden,2005,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.94,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
752,Sweden,2010,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.97,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
752,Sweden,2014,Net official development assistance to developing countries and multilateral organizations (as % of GNI),1.09,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
752,Sweden,2015,Net official development assistance to developing countries and multilateral organizations (as % of GNI),1.40,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
752,Sweden,2016,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.94,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
752,Sweden,2017,Net official development assistance to developing countries and multilateral organizations (as % of GNI),1.01,Provisional data.;Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
756,Switzerland,1975,Net official development assistance to developing countries and multilateral organizations (millions of US$),104,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
756,Switzerland,1985,Net official development assistance to developing countries and multilateral organizations (millions of US$),303,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
756,Switzerland,1995,Net official development assistance to developing countries and multilateral organizations (millions of US$),"1,084",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
756,Switzerland,2005,Net official development assistance to developing countries and multilateral organizations (millions of US$),"1,772",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
756,Switzerland,2010,Net official development assistance to developing countries and multilateral organizations (millions of US$),"2,300",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
756,Switzerland,2014,Net official development assistance to developing countries and multilateral organizations (millions of US$),"3,522",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
756,Switzerland,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),"3,529",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
756,Switzerland,2016,Net official development assistance to developing countries and multilateral organizations (millions of US$),"3,582",Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
756,Switzerland,2017,Net official development assistance to developing countries and multilateral organizations (millions of US$),"3,097",Provisional data.;Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
756,Switzerland,1975,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.18,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
756,Switzerland,1985,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.31,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
756,Switzerland,1995,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.33,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
756,Switzerland,2005,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.42,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
756,Switzerland,2010,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.39,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
756,Switzerland,2014,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.50,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
756,Switzerland,2015,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.51,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
756,Switzerland,2016,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.53,Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
756,Switzerland,2017,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.46,Provisional data.;Development Assistance Committee member (OECD).,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
764,Thailand,2010,Net official development assistance to developing countries and multilateral organizations (millions of US$),4,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
764,Thailand,2014,Net official development assistance to developing countries and multilateral organizations (millions of US$),69,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
764,Thailand,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),62,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
764,Thailand,2016,Net official development assistance to developing countries and multilateral organizations (millions of US$),168,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
764,Thailand,2010,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.00,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
764,Thailand,2014,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.02,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
764,Thailand,2015,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.02,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
764,Thailand,2016,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.05,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
626,Timor-Leste,2014,Net official development assistance to developing countries and multilateral organizations (millions of US$),3,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
626,Timor-Leste,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),4,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
792,Turkey,1995,Net official development assistance to developing countries and multilateral organizations (millions of US$),107,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
792,Turkey,2005,Net official development assistance to developing countries and multilateral organizations (millions of US$),601,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
792,Turkey,2010,Net official development assistance to developing countries and multilateral organizations (millions of US$),967,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
792,Turkey,2014,Net official development assistance to developing countries and multilateral organizations (millions of US$),"3,591",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
792,Turkey,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),"3,919",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
792,Turkey,2016,Net official development assistance to developing countries and multilateral organizations (millions of US$),"6,488",,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
792,Turkey,2017,Net official development assistance to developing countries and multilateral organizations (millions of US$),"8,143",Provisional data.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
792,Turkey,1995,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.06,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
792,Turkey,2005,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.17,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
792,Turkey,2010,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.13,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
792,Turkey,2014,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.45,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
792,Turkey,2015,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.50,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
792,Turkey,2016,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.76,,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
792,Turkey,2017,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.95,Provisional data.,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
784,United Arab Emirates,1975,Net official development assistance to developing countries and multilateral organizations (millions of US$),"1,998","Data reported at activity level, represent flows from all government agencies.","Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
784,United Arab Emirates,1985,Net official development assistance to developing countries and multilateral organizations (millions of US$),366,"Data reported at activity level, represent flows from all government agencies.","Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
784,United Arab Emirates,2005,Net official development assistance to developing countries and multilateral organizations (millions of US$),510,"Data reported at activity level, represent flows from all government agencies.","Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
784,United Arab Emirates,2010,Net official development assistance to developing countries and multilateral organizations (millions of US$),414,"Data reported at activity level, represent flows from all government agencies.","Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
784,United Arab Emirates,2014,Net official development assistance to developing countries and multilateral organizations (millions of US$),"5,080","Data reported at activity level, represent flows from all government agencies.","Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
784,United Arab Emirates,2015,Net official development assistance to developing countries and multilateral organizations (millions of US$),"4,381","Data reported at activity level, represent flows from all government agencies.","Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
784,United Arab Emirates,2016,Net official development assistance to developing countries and multilateral organizations (millions of US$),"4,241","Data reported at activity level, represent flows from all government agencies.","Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
784,United Arab Emirates,2017,Net official development assistance to developing countries and multilateral organizations (millions of US$),"4,595","Provisional data.;Data reported at activity level, represent flows from all government agencies.","Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
784,United Arab Emirates,2010,Net official development assistance to developing countries and multilateral organizations (as % of GNI),0.14,"Data reported at activity level, represent flows from all government agencies.","Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
784,United Arab Emirates,2014,Net official development assistance to developing countries and multilateral organizations (as % of GNI),1.26,"Data reported at activity level, represent flows from all government agencies.","Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed May 2018."
